,exp_risk,exp_return,esg_score
WMT,0.21623381017812401,-0.060759944882683874,0.24600000000000002
WMB,0.2527865006410761,-0.15771972044739332,0.235
WM,0.19051336498993668,-0.1120998285977481,0.16699999999999998
WHR,0.3404363529279757,0.14927527659531323,0.158
WFC,0.3303547095710812,0.009638903928947985,0.32799999999999996
WELL,0.27367729259747714,-0.014051200340959408,0.12
WEC,0.21203552446562451,-0.021136244478668974,0.27399999999999997
WDC,0.4402701907820471,0.32030472337423826,0.114
WBA,0.29294962828254595,0.2633891666830251,0.183
WAT,0.30244588638216013,0.13913072447817965,0.17
WAB,0.28143721488717627,-0.14276139457435605,0.233
VZ,0.19967916606187186,0.15408896631670377,0.185
VRTX,0.2763455465993456,-0.2742308213089602,0.228
PNR,0.30907098134773675,0.013711183056369702,0.22699999999999998
TJX,0.27778080534495914,-0.12545151424302436,0.14400000000000002
TFX,0.3318318478276189,0.2643731597515607,0.29600000000000004
RSG,0.20098191275051222,-0.1730587888171075,0.21
ROST,0.37157276251706983,0.05281857038829441,0.159
ROP,0.22072008578199903,-0.011997740809944316,0.22899999999999998
ROL,0.2660353625063083,-0.1220850189477601,0.203
ROK,0.3170722331350875,-0.07993428506361423,0.177
RMD,0.2789417068823855,0.05838899601234456,0.264
RL,0.3975850426116477,-0.0464443113378505,0.132
RJF,0.315087457954257,-0.1028044361425656,0.24
RHI,0.31769790193494263,0.0721042916085931,0.109
RF,0.349174333199633,0.030396299296903635,0.161
REGN,0.3038919677685041,-0.11932898622621102,0.18100000000000002
REG,0.2706342432324416,-0.02118054235989598,0.109
RE,0.27664354877783026,-0.17181450895207973,0.18100000000000002
RCL,0.572678312051202,-0.08770292081050865,0.21
QRVO,0.402016177370359,0.3302335272797912,0.29100000000000004
QCOM,0.4070570841351476,0.0744793267191494,0.166
PYPL,0.4931817332636516,0.7466831003148462,0.16
PWR,0.34449123055273323,-0.386512753700069,0.37200000000000005
PTC,0.33725633302007346,-0.0048451134785774145,0.18899999999999997
PSX,0.3719252975022713,-0.09164240034267007,0.294
PSA,0.25310030431126795,-0.028306230147449693,0.12300000000000001
PRU,0.2838216412249228,0.029795413031473546,0.162
K,0.19478689018474868,-0.053971300376978795,0.268
PPG,0.3048910471607496,0.060252202586631456,0.243
TGT,0.38463405631622366,0.2798181400838879,0.147
SBAC,0.29217310194076723,0.1546856376727478,0.11599999999999999
SCHW,0.3834891230608076,0.10954478758890203,0.24
TER,0.449025934464895,0.09763163669824222,0.159
TEL,0.2860064364697686,-0.027711360518003634,0.159
TDG,0.30945619081461434,-0.17173546382450977,0.391
TAP,0.2685620147938783,-0.12991003277105712,0.212
T,0.25659552421456233,0.07920098580498236,0.221
SYY,0.26013405007219176,0.006430132592494212,0.121
SYF,0.3956029944252878,0.15365848001513405,0.172
SWKS,0.37606256250023523,0.2592174821196089,0.278
SWK,0.38476166750629615,0.3584491491812919,0.259
STZ,0.21525557591471467,-0.040887070868024206,0.258
STX,0.39307662510533814,0.1359627783230491,0.107
STT,0.36314654429536025,0.03167580844191348,0.223
SRE,0.21604264125468978,-0.0763819212791672,0.247
SPGI,0.262205894370023,0.009363447595335453,0.14300000000000002
SPG,0.3111968431207218,0.0021405847193957414,0.142
SO,0.1990327628085929,-0.1066728415096705,0.331
SNPS,0.3613892351390878,-0.2204998853609234,0.134
SNA,0.2494595014181138,-0.1513957328040695,0.308
SLB,0.4426918399440848,-0.2251232020228092,0.21899999999999997
SJM,0.21269982935680426,-0.08994393691019767,0.31
SHW,0.30292234073113355,0.011771519578829033,0.28600000000000003
SEE,0.308225906850356,0.19060996263629726,0.20600000000000002
SBUX,0.3003307783938164,0.04181024222540411,0.248
JPM,0.2663386150038609,0.011570790646503314,0.29
IVZ,0.3839569278755195,0.1971078654277077,0.203
JNJ,0.16024472878060916,-0.02468732578151359,0.251
CFG,0.36673329651689374,0.24585440110846732,0.235
CF,0.42949350774526546,-0.17553583253859065,0.3
CE,0.35959216200301125,0.12053461350519921,0.293
CDW,0.2898644656579384,-0.028433704346968312,0.092
CDNS,0.35615872166649154,-0.2575444886775584,0.122
CCL,0.6725276320224698,0.21548843665437495,0.237
CCI,0.27271549171007714,0.23065860748797326,0.132
CBRE,0.31222710429358724,0.03284694647094772,0.068
CBOE,0.22822758233039359,-0.06593413433849744,0.21
CB,0.2232009692077641,-0.1041055527292559,0.239
CAT,0.30468438173997964,-0.0801275179775763,0.342
CHD,0.217286292206534,-0.08706457940970734,0.198
CAG,0.21950153726928434,0.007560487455562904,0.317
C,0.2955709983874584,0.1754140562382212,0.267
BWA,0.33910678841071906,-0.012256373367195452,0.128
BSX,0.24416451377623613,-0.11051137047700342,0.263
BRO,0.2738065444560239,-0.12847966059656024,0.214
BRK-B,0.1892047952761397,-0.09662467747588863,0.16
BR,0.2572765928790623,-0.023414603939781384,0.162
BMY,0.18773364272883783,-0.009547975944817984,0.228
BLK,0.3025666692897794,0.09463093954258732,0.20600000000000002
BKNG,0.36483778067078027,-0.09726510015400594,0.223
BK,0.2866843162423222,0.043843397064578876,0.215
CAH,0.26219888196265007,-0.2786162629017805,0.12300000000000001
CHRW,0.30022053170596075,-0.028585678510263897,0.201
CHTR,0.35402825418457784,0.34524110944267905,0.265
CI,0.266327485763104,-0.09616197906824503,0.11599999999999999
