,exp_risk,exp_return
ON,0.5314442758181136,-0.44061359143424983
ORLY,0.25139513267379826,-0.25308748025150224
PANW,0.42590575809039105,-0.3599124489468679
VRTX,0.2763455465993456,-0.2742308213089602
PEP,0.167684767022994,-0.13533113528475998
PCAR,0.25062803411308937,-0.20212062100602057
AVGO,0.3292655260629721,-0.3265729539491791
EXC,0.22163270449285272,-0.15159268627854755
