,exp_risk,exp_return
PEP,0.16768476620503336,-0.13533118983078157
ON,0.5314442758181136,-0.44061359143424983
MCK,0.21992132401457593,-0.40270012219159446
MCD,0.1727071777381049,-0.14407143728203564
JNJ,0.16024472878060916,-0.02468732578151359
ABC,0.21254851641782518,-0.26857780660703984
HSY,0.18648854508205867,-0.19696262801986267
