,exp_risk,exp_return
MRK,0.22134891777084115,-0.22187588299445007
MCD,0.17270719283262775,-0.1440714026228703
KO,0.16929476161439008,-0.08196875307829578
JNJ,0.16024474303589617,-0.024687423842527183
CVX,0.2841299357582153,-0.24031871507316863
