BursatilIndex,Sampling Method,Indicator,Execution,Ind_Value
nasdaq100,nsgaii,IGD,8,9.501511709275183e-05
nasdaq100,nsgaii,IGD,9,9.246974462373176e-05
nasdaq100,nsgaii,IGD,10,9.469261727674015e-05
nasdaq100,nsgaii,IGD,11,8.536034839412287e-05
nasdaq100,nsgaii,IGD,12,8.438180229460418e-05
nasdaq100,nsgaii,IGD,13,8.23212457850639e-05
nasdaq100,nsgaii,IGD,14,9.431368378509674e-05
nasdaq100,nsgaii,IGD,15,8.533706673935303e-05
nasdaq100,nsgaii,IGD,16,8.96685182205208e-05
nasdaq100,nsgaii,IGD,17,9.404404776026467e-05
nasdaq100,nsgaii,IGD,18,8.641306684312995e-05
nasdaq100,nsgaii,IGD,19,8.810766073211106e-05
nasdaq100,sms,IGD,0,4.3668851676099493e-05
nasdaq100,sms,IGD,1,5.1173460869806205e-05
nasdaq100,sms,IGD,2,5.135668976808003e-05
nasdaq100,sms,IGD,3,4.8909712534437264e-05
nasdaq100,sms,IGD,4,4.453914194669928e-05
nasdaq100,sms,IGD,5,4.4429947897876305e-05
nasdaq100,sms,IGD,6,4.9616984144823544e-05
nasdaq100,sms,IGD,7,4.015442704631739e-05
nasdaq100,sms,IGD,8,4.400670861573904e-05
nasdaq100,sms,IGD,9,4.4086526269988076e-05
nasdaq100,sms,IGD,10,3.784754582287409e-05
nasdaq100,sms,IGD,11,3.890350198984601e-05
nasdaq100,sms,IGD,12,5.6210502975292145e-05
nasdaq100,sms,IGD,13,4.800513392399097e-05
nasdaq100,sms,IGD,14,3.8991919929671135e-05
nasdaq100,sms,IGD,15,4.8485307913395404e-05
nasdaq100,sms,IGD,16,5.5905032299799135e-05
nasdaq100,sms,IGD,17,4.236570776470373e-05
nasdaq100,sms,IGD,18,4.595979450098566e-05
nasdaq100,sms,IGD,19,4.1349821617897856e-05
nasdaq100,mkds,IGD,0,8.530057619479408e-05
nasdaq100,mkds,IGD,1,8.530057619479408e-05
nasdaq100,mkds,IGD,2,8.530057619479408e-05
nasdaq100,mkds,IGD,3,8.530057619479408e-05
nasdaq100,mkds,IGD,4,8.530057619479408e-05
nasdaq100,mkds,IGD,5,8.530057619479408e-05
nasdaq100,mkds,IGD,6,8.530057619479408e-05
nasdaq100,mkds,IGD,7,8.530057619479408e-05
nasdaq100,mkds,IGD,8,8.530057619479408e-05
nasdaq100,mkds,IGD,9,8.530057619479408e-05
nasdaq100,mkds,IGD,10,8.530057619479408e-05
nasdaq100,mkds,IGD,11,8.530057619479408e-05
nasdaq100,mkds,IGD,12,8.530057619479408e-05
nasdaq100,mkds,IGD,13,8.530057619479408e-05
nasdaq100,mkds,IGD,14,8.530057619479408e-05
nasdaq100,mkds,IGD,15,8.530057619479408e-05
nasdaq100,mkds,IGD,16,8.530057619479408e-05
nasdaq100,mkds,IGD,17,8.530057619479408e-05
nasdaq100,mkds,IGD,18,8.530057619479408e-05
nasdaq100,mkds,IGD,19,8.530057619479408e-05
nasdaq100,das,GDplus,0,0.009132977306055418
nasdaq100,das,GDplus,1,0.009132977306055418
nasdaq100,das,GDplus,2,0.009132977306055418
nasdaq100,das,GDplus,3,0.009132977306055418
nasdaq100,das,GDplus,4,0.009132977306055418
nasdaq100,das,GDplus,5,0.009132977306055418
nasdaq100,das,GDplus,6,0.009132977306055418
nasdaq100,das,GDplus,7,0.009132977306055418
nasdaq100,das,GDplus,8,0.009132977306055418
nasdaq100,das,GDplus,9,0.009132977306055418
nasdaq100,das,GDplus,10,0.009132977306055418
nasdaq100,das,GDplus,11,0.009132977306055418
nasdaq100,das,GDplus,12,0.009132977306055418
nasdaq100,das,GDplus,13,0.009132977306055418
nasdaq100,das,GDplus,14,0.009132977306055418
nasdaq100,das,GDplus,15,0.009132977306055418
nasdaq100,das,GDplus,16,0.009132977306055418
nasdaq100,das,GDplus,17,0.009132977306055418
nasdaq100,das,GDplus,18,0.009132977306055418
nasdaq100,das,GDplus,19,0.009132977306055418
nasdaq100,nsgaii,GDplus,0,0.0023815801354468446
nasdaq100,nsgaii,GDplus,1,0.0022866374612585494
nasdaq100,nsgaii,GDplus,2,0.002367232490904242
nasdaq100,nsgaii,GDplus,3,0.002307073196474399
nasdaq100,nsgaii,GDplus,4,0.0022916799359144536
nasdaq100,nsgaii,GDplus,5,0.002371667135175537
nasdaq100,nsgaii,GDplus,6,0.002326787517736148
nasdaq100,nsgaii,GDplus,7,0.0022432800343973013
nasdaq100,nsgaii,GDplus,8,0.002347826636083188
nasdaq100,nsgaii,GDplus,9,0.0023399886650138607
nasdaq100,nsgaii,GDplus,10,0.002338395795661192
nasdaq100,nsgaii,GDplus,11,0.0023417848368831582
nasdaq100,nsgaii,GDplus,12,0.0023757423810817904
nasdaq100,nsgaii,GDplus,13,0.0022578414625321853
nasdaq100,nsgaii,GDplus,14,0.002320374161335502
nasdaq100,nsgaii,GDplus,15,0.0023628724195201615
nasdaq100,nsgaii,GDplus,16,0.0023755455348427428
nasdaq100,nsgaii,GDplus,17,0.0023615235407327597
nasdaq100,nsgaii,GDplus,18,0.0023297644581538038
nasdaq100,nsgaii,GDplus,19,0.002320877902377472
nasdaq100,sms,GDplus,0,0.0018288185306299454
nasdaq100,sms,GDplus,1,0.0019178199634084568
nasdaq100,sms,GDplus,2,0.0018527636704196496
nasdaq100,sms,GDplus,3,0.0018157614883425018
nasdaq100,sms,GDplus,4,0.0018693045902748195
nasdaq100,sms,GDplus,5,0.0018098850773333067
nasdaq100,sms,GDplus,6,0.0018445164732163015
nasdaq100,sms,GDplus,7,0.0018474123151383602
nasdaq100,sms,GDplus,8,0.0018874263051376133
nasdaq100,sms,GDplus,9,0.001964630434599241
nasdaq100,sms,GDplus,10,0.0018784262344918674
nasdaq100,sms,GDplus,11,0.0018485872108975631
nasdaq100,sms,GDplus,12,0.001978730205017718
nasdaq100,sms,GDplus,13,0.0017573163793979797
nasdaq100,sms,GDplus,14,0.0018464288113500336
nasdaq100,sms,GDplus,15,0.00174192720763351
nasdaq100,sms,GDplus,16,0.0019632114435474864
nasdaq100,sms,GDplus,17,0.0017368546292271115
nasdaq100,sms,GDplus,18,0.0018388546190195683
nasdaq100,sms,GDplus,19,0.0018631578606496388
nasdaq100,mkds,GDplus,0,0.002650809827641079
nasdaq100,mkds,GDplus,1,0.002650809827641079
nasdaq100,mkds,GDplus,2,0.002650809827641079
nasdaq100,mkds,GDplus,3,0.002650809827641079
nasdaq100,mkds,GDplus,4,0.002650809827641079
nasdaq100,mkds,GDplus,5,0.002650809827641079
nasdaq100,mkds,GDplus,6,0.002650809827641079
nasdaq100,mkds,GDplus,7,0.002650809827641079
nasdaq100,mkds,GDplus,8,0.002650809827641079
nasdaq100,mkds,GDplus,9,0.002650809827641079
nasdaq100,mkds,GDplus,10,0.002650809827641079
nasdaq100,mkds,GDplus,11,0.002650809827641079
nasdaq100,mkds,GDplus,12,0.002650809827641079
nasdaq100,mkds,GDplus,13,0.002650809827641079
nasdaq100,mkds,GDplus,14,0.002650809827641079
nasdaq100,mkds,GDplus,15,0.002650809827641079
nasdaq100,mkds,GDplus,16,0.002650809827641079
nasdaq100,mkds,GDplus,17,0.002650809827641079
nasdaq100,mkds,GDplus,18,0.002650809827641079
nasdaq100,mkds,GDplus,19,0.002650809827641079
nasdaq100,das,IGDplus,0,0.0010462415028093914
nasdaq100,das,IGDplus,1,0.0010462415028093914
nasdaq100,das,IGDplus,2,0.0010462415028093914
nasdaq100,das,IGDplus,3,0.0010462415028093914
nasdaq100,das,IGDplus,4,0.0010462415028093914
nasdaq100,das,IGDplus,5,0.0010462415028093914
nasdaq100,das,IGDplus,6,0.0010462415028093914
nasdaq100,das,IGDplus,7,0.0010462415028093914
nasdaq100,das,IGDplus,8,0.0010462415028093914
nasdaq100,das,IGDplus,9,0.0010462415028093914
nasdaq100,das,IGDplus,10,0.0010462415028093914
nasdaq100,das,IGDplus,11,0.0010462415028093914
nasdaq100,das,IGDplus,12,0.0010462415028093914
nasdaq100,das,IGDplus,13,0.0010462415028093914
nasdaq100,das,IGDplus,14,0.0010462415028093914
nasdaq100,das,IGDplus,15,0.0010462415028093914
nasdaq100,das,IGDplus,16,0.0010462415028093914
nasdaq100,das,IGDplus,17,0.0010462415028093914
nasdaq100,das,IGDplus,18,0.0010462415028093914
nasdaq100,das,IGDplus,19,0.0010462415028093914
nasdaq100,nsgaii,IGDplus,0,7.796076238491077e-05
nasdaq100,nsgaii,IGDplus,1,7.047178097890615e-05
nasdaq100,nsgaii,IGDplus,2,8.118404652266757e-05
nasdaq100,nsgaii,IGDplus,3,7.01732352256487e-05
nasdaq100,nsgaii,IGDplus,4,7.012344692150364e-05
nasdaq100,nsgaii,IGDplus,5,7.258335760304901e-05
nasdaq100,nsgaii,IGDplus,6,8.1039018003071e-05
nasdaq100,nsgaii,IGDplus,7,6.387856574781584e-05
nasdaq100,nsgaii,IGDplus,8,7.910148204199236e-05
nasdaq100,nsgaii,IGDplus,9,7.405270003267552e-05
nasdaq100,nsgaii,IGDplus,10,7.836216529019933e-05
nasdaq100,nsgaii,IGDplus,11,6.73643912898347e-05
nasdaq100,nsgaii,IGDplus,12,6.875384533216848e-05
nasdaq100,nsgaii,IGDplus,13,6.716139520107811e-05
nasdaq100,nsgaii,IGDplus,14,7.703798243233793e-05
nasdaq100,nsgaii,IGDplus,15,6.83225402208988e-05
nasdaq100,nsgaii,IGDplus,16,7.440958542491143e-05
nasdaq100,nsgaii,IGDplus,17,7.478957234163388e-05
nasdaq100,nsgaii,IGDplus,18,7.112302707500323e-05
nasdaq100,nsgaii,IGDplus,19,7.291572434330981e-05
nasdaq100,sms,IGDplus,0,2.8280514129534455e-05
nasdaq100,sms,IGDplus,1,3.096820417017643e-05
nasdaq100,sms,IGDplus,2,3.459544914397029e-05
nasdaq100,sms,IGDplus,3,3.2680412252474554e-05
nasdaq100,sms,IGDplus,4,3.1817487008867455e-05
nasdaq100,sms,IGDplus,5,3.0057602812693493e-05
nasdaq100,sms,IGDplus,6,3.5389398732597514e-05
nasdaq100,sms,IGDplus,7,2.7318964716418812e-05
nasdaq100,sms,IGDplus,8,2.8660719986645925e-05
nasdaq100,sms,IGDplus,9,2.8396604002543317e-05
nasdaq100,sms,IGDplus,10,2.7534933552723967e-05
nasdaq100,sms,IGDplus,11,2.7961201038522966e-05
nasdaq100,sms,IGDplus,12,3.444133736952217e-05
nasdaq100,sms,IGDplus,13,3.0023691163267776e-05
nasdaq100,sms,IGDplus,14,2.7522503966342137e-05
nasdaq100,sms,IGDplus,15,2.8508227950250972e-05
nasdaq100,sms,IGDplus,16,3.2906780278191126e-05
nasdaq100,sms,IGDplus,17,2.878844808717613e-05
nasdaq100,sms,IGDplus,18,3.282334183082884e-05
nasdaq100,sms,IGDplus,19,2.7007940018844734e-05
nasdaq100,mkds,IGDplus,0,5.887816623601304e-05
nasdaq100,mkds,IGDplus,1,5.887816623601304e-05
nasdaq100,mkds,IGDplus,2,5.887816623601304e-05
nasdaq100,mkds,IGDplus,3,5.887816623601304e-05
nasdaq100,mkds,IGDplus,4,5.887816623601304e-05
nasdaq100,mkds,IGDplus,5,5.887816623601304e-05
nasdaq100,mkds,IGDplus,6,5.887816623601304e-05
nasdaq100,mkds,IGDplus,7,5.887816623601304e-05
nasdaq100,mkds,IGDplus,8,5.887816623601304e-05
nasdaq100,mkds,IGDplus,9,5.887816623601304e-05
nasdaq100,mkds,IGDplus,10,5.887816623601304e-05
nasdaq100,mkds,IGDplus,11,5.887816623601304e-05
nasdaq100,mkds,IGDplus,12,5.887816623601304e-05
nasdaq100,mkds,IGDplus,13,5.887816623601304e-05
nasdaq100,mkds,IGDplus,14,5.887816623601304e-05
nasdaq100,mkds,IGDplus,15,5.887816623601304e-05
nasdaq100,mkds,IGDplus,16,5.887816623601304e-05
nasdaq100,mkds,IGDplus,17,5.887816623601304e-05
nasdaq100,mkds,IGDplus,18,5.887816623601304e-05
nasdaq100,mkds,IGDplus,19,5.887816623601304e-05
nasdaq100,das,HV,0,0.979601155066165
nasdaq100,das,HV,1,0.979601155066165
nasdaq100,das,HV,2,0.979601155066165
nasdaq100,das,HV,3,0.979601155066165
nasdaq100,das,HV,4,0.979601155066165
nasdaq100,das,HV,5,0.979601155066165
nasdaq100,das,HV,6,0.979601155066165
nasdaq100,das,HV,7,0.979601155066165
nasdaq100,das,HV,8,0.979601155066165
nasdaq100,das,HV,9,0.979601155066165
nasdaq100,das,HV,10,0.979601155066165
nasdaq100,das,HV,11,0.979601155066165
nasdaq100,das,HV,12,0.979601155066165
nasdaq100,das,HV,13,0.979601155066165
nasdaq100,das,HV,14,0.979601155066165
nasdaq100,das,HV,15,0.979601155066165
nasdaq100,das,HV,16,0.979601155066165
nasdaq100,das,HV,17,0.979601155066165
nasdaq100,das,HV,18,0.979601155066165
nasdaq100,das,HV,19,0.979601155066165
nasdaq100,nsgaii,HV,0,0.9914753200846196
nasdaq100,nsgaii,HV,1,0.9915146488714814
nasdaq100,nsgaii,HV,2,0.9914482056683873
nasdaq100,nsgaii,HV,3,0.9914949710191051
nasdaq100,nsgaii,HV,4,0.9914961549897912
nasdaq100,nsgaii,HV,5,0.9914776491219794
nasdaq100,nsgaii,HV,6,0.9914552410916786
nasdaq100,nsgaii,HV,7,0.9915437257319379
nasdaq100,nsgaii,HV,8,0.9914781297016901
nasdaq100,nsgaii,HV,9,0.9914430622656886
nasdaq100,nsgaii,HV,10,0.9914148961546911
nasdaq100,nsgaii,HV,11,0.9915309080207177
nasdaq100,nsgaii,HV,12,0.9914766011477115
nasdaq100,nsgaii,HV,13,0.9915234623605674
nasdaq100,nsgaii,HV,14,0.9914522603244589
nasdaq100,nsgaii,HV,15,0.9914855585434597
nasdaq100,nsgaii,HV,16,0.9914730250016355
nasdaq100,nsgaii,HV,17,0.9914481743137467
nasdaq100,nsgaii,HV,18,0.9914474556853704
nasdaq100,nsgaii,HV,19,0.9914933303108071
nasdaq100,sms,HV,0,0.9918509719204551
nasdaq100,sms,HV,1,0.9916732573797158
nasdaq100,sms,HV,2,0.9916917088598538
nasdaq100,sms,HV,3,0.9917185732106539
nasdaq100,sms,HV,4,0.9918165309892885
nasdaq100,sms,HV,5,0.9917997959125903
nasdaq100,sms,HV,6,0.9917137597396256
nasdaq100,sms,HV,7,0.9918489383312847
nasdaq100,sms,HV,8,0.9918501341708076
nasdaq100,sms,HV,9,0.9918283015873892
nasdaq100,sms,HV,10,0.9918494608000845
nasdaq100,sms,HV,11,0.9918373743704236
nasdaq100,sms,HV,12,0.9918137463476645
nasdaq100,sms,HV,13,0.991867072967787
nasdaq100,sms,HV,14,0.9917664372353296
nasdaq100,sms,HV,15,0.9917720581164385
nasdaq100,sms,HV,16,0.9918350079644214
nasdaq100,sms,HV,17,0.991845199853367
nasdaq100,sms,HV,18,0.9916362157014731
nasdaq100,sms,HV,19,0.9918528611959829
nasdaq100,mkds,HV,0,0.9914399091636774
nasdaq100,mkds,HV,1,0.9914399091636774
nasdaq100,mkds,HV,2,0.9914399091636774
nasdaq100,mkds,HV,3,0.9914399091636774
nasdaq100,mkds,HV,4,0.9914399091636774
nasdaq100,mkds,HV,5,0.9914399091636774
nasdaq100,mkds,HV,6,0.9914399091636774
nasdaq100,mkds,HV,7,0.9914399091636774
nasdaq100,mkds,HV,8,0.9914399091636774
nasdaq100,mkds,HV,9,0.9914399091636774
nasdaq100,mkds,HV,10,0.9914399091636774
nasdaq100,mkds,HV,11,0.9914399091636774
nasdaq100,mkds,HV,12,0.9914399091636774
nasdaq100,mkds,HV,13,0.9914399091636774
nasdaq100,mkds,HV,14,0.9914399091636774
nasdaq100,mkds,HV,15,0.9914399091636774
nasdaq100,mkds,HV,16,0.9914399091636774
nasdaq100,mkds,HV,17,0.9914399091636774
nasdaq100,mkds,HV,18,0.9914399091636774
nasdaq100,mkds,HV,19,0.9914399091636774
