Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2021-11-01,147.25636291503906,196.4501190185547,169.47293090820312,214.5800018310547,196.6375732421875,302.760009765625,52.77498245239258,106.25547790527344,170.19000244140625,51.9359245300293,394.6654357910156,348.7010803222656,210.98268127441406,109.36319732666016,46.40188980102539,154.3916015625,159.83998107910156,52.898292541503906,239.77163696289062,163.67861938476562,82.60359954833984,323.50909423828125,162.7165069580078,135.73878479003906,153.19961547851562,441.78369140625,209.2805938720703,46.76698303222656,42.77761459350586,145.21107482910156
2021-11-02,148.30426025390625,200.63589477539062,168.46119689941406,212.77000427246094,198.3035125732422,302.95001220703125,54.204898834228516,105.6060562133789,169.8300018310547,52.86723709106445,401.4373474121094,349.4717712402344,212.35557556152344,109.2765884399414,46.69219207763672,156.82554626464844,160.47071838378906,52.83236312866211,238.4894561767578,165.85699462890625,83.7132568359375,327.2021484375,164.1838836669922,137.09007263183594,151.96527099609375,439.7699279785156,206.01025390625,46.43135070800781,43.16633605957031,145.14324951171875
2021-11-03,149.7574462890625,204.25982666015625,167.9164581298828,213.3800048828125,194.88548278808594,302.8900146484375,54.233116149902344,104.84528350830078,170.0800018310547,53.39165496826172,395.80194091796875,351.0702819824219,213.90127563476562,110.09932708740234,47.18851852416992,156.3236083984375,160.52716064453125,53.01130294799805,239.59939575195312,166.0939483642578,83.39351654052734,328.0566711425781,168.75242614746094,138.0321807861328,153.3335723876953,444.91632080078125,204.98582458496094,46.75814437866211,44.50426483154297,145.5891876220703
2021-11-04,149.23350524902344,201.2633056640625,167.83860778808594,213.02999877929688,194.9237518310547,308.0400085449219,53.73452377319336,105.30917358398438,170.27999877929688,51.69179916381836,386.4917297363281,354.1245422363281,213.60365295410156,109.4749984741211,47.44123840332031,155.8879852294922,158.41856384277344,53.30323791503906,242.52743530273438,164.61741638183594,85.14265441894531,330.45330810546875,171.62855529785156,138.28909301757812,149.74542236328125,444.36181640625,205.65565490722656,45.79542541503906,44.75738525390625,146.6555633544922
2021-11-05,149.76809692382812,200.1770477294922,171.885498046875,224.4600067138672,197.11631774902344,307.25,53.68749237060547,106.45028686523438,175.6300048828125,52.722564697265625,385.5540771484375,350.5279541015625,217.0310821533203,111.97521209716797,48.016456604003906,154.77987670898438,158.19264221191406,53.529266357421875,243.72348022460938,165.70205688476562,76.74498748779297,330.0800476074219,173.65359497070312,138.9742889404297,152.71160888671875,443.4375915527344,213.42758178710938,46.13988494873047,45.38115692138672,145.6376495361328
2021-11-08,148.9364776611328,197.92965698242188,175.15414428710938,222.67999267578125,205.13003540039062,309.9599914550781,53.62164306640625,106.83068084716797,176.8699951171875,52.9576530456543,386.7474670410156,350.70867919921875,216.71424865722656,112.81768798828125,48.610530853271484,154.24952697753906,159.1433868408203,53.04896545410156,242.18295288085938,165.46507263183594,77.7511978149414,330.9934387207031,168.1165771484375,137.93701171875,151.8504638671875,450.062744140625,217.19039916992188,46.21937942504883,45.109947204589844,144.70701599121094
2021-11-09,149.30279541015625,198.248046875,174.9693145751953,220.7899932861328,200.87901306152344,309.7099914550781,54.03556442260742,107.6192855834961,175.11000061035156,53.15657424926758,383.9155578613281,352.6687927246094,218.65357971191406,110.93585968017578,48.280487060546875,153.9085693359375,157.93849182128906,53.19965362548828,241.75234985351562,165.27366638183594,77.78882598876953,329.97198486328125,170.04376220703125,138.355712890625,150.60655212402344,451.7457580566406,210.1966552734375,46.13988494873047,44.386741638183594,145.21107482910156
2021-11-10,146.44166564941406,199.6526641845703,176.45767211914062,218.5,197.8726806640625,299.6700134277344,54.346004486083984,105.9029312133789,174.4499969482422,53.12944412231445,378.0150146484375,350.6991271972656,217.34226989746094,110.35755157470703,47.86557388305664,155.57540893554688,157.78787231445312,53.4162483215332,242.21165466308594,166.26715087890625,79.00192260742188,324.9136657714844,164.6045379638672,139.71652221679688,151.3911590576172,447.41656494140625,212.70799255371094,46.457847595214844,44.269222259521484,143.90237426757812
2021-11-11,146.3921661376953,198.1075897216797,176.37014770507812,219.3800048828125,199.6535186767578,302.9800109863281,53.39586639404297,105.9122085571289,162.11000061035156,53.9612922668457,381.064697265625,349.7952575683594,213.09971618652344,110.40342712402344,47.64869689941406,154.42945861816406,157.7784881591797,53.435089111328125,239.3697509765625,164.25286865234375,79.01132202148438,326.5146179199219,163.3425750732422,139.3168487548828,151.01803588867188,444.9747009277344,207.63600158691406,46.32535934448242,45.1461067199707,143.9605255126953
2021-11-12,148.49099731445312,197.94837951660156,176.94410705566406,220.9600067138672,200.36199951171875,306.6499938964844,53.452308654785156,105.97715759277344,159.6300048828125,54.30487823486328,383.4988708496094,354.5527038574219,214.43035888671875,109.2009048461914,47.44123840332031,156.27626037597656,157.0724639892578,53.312660217285156,239.85772705078125,167.39736938476562,78.99252319335938,330.728271484375,165.41648864746094,139.46913146972656,150.62570190429688,446.5312194824219,209.28387451171875,46.22821044921875,45.21730041503906,143.24314880371094
