,exp_risk,exp_return
PG,0.18748609903223737,-0.049778207777461524
MCD,0.17243101605545627,-0.03273788603435576
JNJ,0.1705884586935231,0.01795105392268099
IBM,0.20431996825094983,-0.13810548184888038
CVX,0.2823615216993361,-0.18986586408834513
AMGN,0.20914727764163374,-0.16005723143985146
