,exp_risk,exp_return
PG,0.18748609401302718,-0.049778207777461426
LLY,0.2803451340574583,-0.4284434558614665
JNJ,0.1705885158065559,0.01795110383369321
MCK,0.22098891385908637,-0.39768586190555927
MCD,0.17243108181351519,-0.03273785389610433
BRK-B,0.1881411644682429,-0.08118372527350622
AMGN,0.20914730873531354,-0.16005727066528766
IBM,0.20431996700555743,-0.1381054113878745
ED,0.20077646280433675,-0.11641499966620095
