,exp_risk,exp_return,esg_score
KR,0.2936474493932366,-0.07220838224758445,0.2139
KO,0.17476502524210957,-0.026787975372741343,0.2256
KMX,0.4765902348661807,0.42082011069170466,0.121
KMI,0.23271340891171274,-0.044607665585106336,0.1855
KMB,0.18903479910052415,0.004618512755051004,0.2205
KLAC,0.4269688706815841,-0.10673166422701846,0.1679
KIM,0.29257246003930504,0.10306479248075917,0.12140000000000001
KHC,0.22360362565705336,0.028715431424305216,0.353
KEYS,0.31785585583108844,0.20907835910982275,0.0931
KEY,0.4699408904910093,0.3756636856837752,0.2314
K,0.20182338307642952,0.03171662324090137,0.26839999999999997
JPM,0.25880790492983297,0.06419541630054258,0.2902
JNPR,0.2708150157054871,0.0672893600939543,0.1659
JNJ,0.1705885158065559,0.01795110383369321,0.25079999999999997
JKHY,0.2667644548747307,0.07297150325745617,0.1545
JCI,0.2945986147110879,0.18228318070237198,0.147
JBHT,0.3066730417517674,0.06928948619604772,0.1386
LNT,0.22470659235938517,0.039123188052933244,0.2187
MPC,0.33882904384514373,-0.42485168689882746,0.287
LOW,0.2868342223926778,0.09476675750346791,0.1149
LULU,0.42150812491475986,0.08392597836851634,0.16940000000000002
MO,0.21747575676534311,-0.023599142600424023,0.23989999999999997
MNST,0.2593413053963677,-0.07995372900274474,0.2803
MMM,0.27036108741592335,0.3096766443396413,0.3361
MMC,0.2145239683876302,-0.0846696629704278,0.1945
MLM,0.29530734766160893,-0.016458295877195436,0.3182
MKC,0.253026935508459,0.09500844527063348,0.2658
MHK,0.4078800277172104,0.42887611303645023,0.1417
MGM,0.421691672572299,0.16653853433949334,0.25489999999999996
META,0.5541446980532562,0.06810415578045476,0.32539999999999997
MET,0.2680413659373366,0.006039430335823031,0.1495
MDT,0.24106145848013855,0.23936410565955016,0.2266
MDLZ,0.19450462621364542,-0.060980392456791654,0.2378
MCO,0.29109432259956164,0.11219604983691064,0.105
MCK,0.22098891385908637,-0.39768586190555927,0.1517
MCHP,0.40694201900755755,0.011026787050118749,0.3098
MCD,0.17243108181351519,-0.03273785389610433,0.24789999999999998
MAS,0.31651151616744133,0.09375334832454069,0.22440000000000002
MAR,0.3257410795638722,-0.07864346035686728,0.2189
MAA,0.24567487688547762,0.22154029499668101,0.1464
MA,0.2793295153608388,-0.050201801917723214,0.1698
LYB,0.2966317531056708,-0.04999780798839643,0.2459
LVS,0.46985243750155115,-0.0761348556806924,0.1769
LUV,0.34622640578300523,0.3639386575586276,0.3239
LRCX,0.46334364153697366,-0.023787674033163536,0.13449999999999998
PNR,0.3102778747966043,0.1031145542725884,0.2274
J,0.2552954103726095,0.020159188310068944,0.2237
VLO,0.40215871897919514,-0.2760061671474307,0.3005
VFC,0.437409156266255,0.6623882434977202,0.12890000000000001
V,0.25680091510362435,-0.0504773607041957,0.1607
USB,0.340386546749232,0.2811052346647965,0.2704
URI,0.38877259186518837,-0.03161974042646954,0.1845
UPS,0.276876485050498,0.180677353780198,0.195
UNP,0.24875968355853198,0.06177594886948508,0.2526
UNH,0.2310652494647694,-0.09037534812397303,0.1754
ULTA,0.3293354450441458,-0.02010570819360911,0.1533
UHS,0.3381111358529326,-0.0035002623784944056,0.3298
UDR,0.25490336468609454,0.2125965557031678,0.12359999999999999
UAL,0.4833521806731028,0.16119033092714935,0.28809999999999997
TXT,0.2961697630393985,-0.010672647579733751,0.3381
TXN,0.2818819922625714,0.10811274255240368,0.1993
TT,0.2803257845945816,-0.03330435905398662,0.1612
TSN,0.27630508485387295,0.25780576483104994,0.3667
TSLA,0.6259019382459305,0.3393096618084628,0.2854
TSCO,0.3013411389610707,0.04537549798228203,0.1396
TRV,0.22568534663188825,-0.03581822583965077,0.2052
TROW,0.36019168317553846,0.386082243489844,0.1705
TRMB,0.3624538325730579,0.31402865613592107,0.1298
TRGP,0.3458436442667187,-0.23589510641285505,0.3398
TPR,0.42748894702195,0.14129186992602494,0.1333
TMUS,0.25490637700904256,-0.10579079337034883,0.2607
VMC,0.28194515434739126,-0.02419687924106795,0.2902
VRSK,0.24475133047019246,-0.04777716580856597,0.193
VRSN,0.2775050350028688,0.043820223621020615,0.2144
VRTX,0.2764401984511296,-0.3369112017186785,0.22820000000000001
ZBH,0.27150052898867705,0.15189763469264214,0.273
YUM,0.20740432072009535,0.013403208847005276,0.20550000000000002
XYL,0.3013586246147004,0.1777661215257996,0.1604
XRAY,0.3282343787815657,0.308701484758308,0.1578
XOM,0.30945228732662494,-0.2884164799077356,0.36469999999999997
XEL,0.21317276744636202,0.008372884452344246,0.23800000000000002
WYNN,0.48045853985842246,0.03180820288716933,0.26489999999999997
WY,0.27405081614823934,0.06960746345670593,0.17559999999999998
WTW,0.24279421638774115,0.0035962087621314548,0.1861
WRK,0.34556846689404636,0.12585951557114894,0.5845
WRB,0.24211947385910723,-0.1393845729208979,0.21969999999999998
TMO,0.2778401352883476,0.182832266496927,0.1352
WMT,0.21755091932685058,-0.05453457877785288,0.2463
WM,0.19602814770304805,-0.02778544775671539,0.1673
WHR,0.3600390942894854,0.3132782114543003,0.158
WFC,0.31570742252347134,0.10936213021919965,0.3284
WELL,0.27336599298744846,-0.034514015702041476,0.1201
WEC,0.21556899857380088,0.010015733529858632,0.2736
WDC,0.4356287394712125,0.17569648172578473,0.1143
WBA,0.30418911757437145,0.3427515920971739,0.18289999999999998
WAT,0.31169633517736506,0.2018980076472686,0.17010000000000003
WAB,0.27810928026659215,-0.07898423293142207,0.2325
VZ,0.2278781652776867,0.1540724796585365,0.1848
VTR,0.2923042997614064,0.09684411111188092,0.1275
WMB,0.2476562305011083,-0.1512550707543867,0.235
PNW,0.22281198844065564,-0.12028811274899055,0.3106
TJX,0.26728789958647603,-0.15676800165973304,0.14429999999999998
TFX,0.3193401637932206,0.3410354605039128,0.2963
RTX,0.25610468216609733,0.03264899100050102,0.2917
RSG,0.19944948351273484,-0.06280500858019124,0.20980000000000001
ROST,0.36612490938417064,-0.013976796908472857,0.1593
ROP,0.22040254359456543,-0.007185363762179869,0.22899999999999998
ROL,0.27113194302008536,-0.035476016143155376,0.2028
ROK,0.3293573910350286,0.0822972896633569,0.17670000000000002
RMD,0.33012483438286533,0.31871291527050016,0.2641
RL,0.38687758040870607,0.040765522810698736,0.1321
RJF,0.31537695809352656,0.0011758890365629953,0.23989999999999997
RHI,0.31935001354859954,0.20267498586313984,0.1093
RF,0.3545568712279473,0.22185773364601682,0.16079999999999997
REGN,0.294789684326599,-0.1082917345209977,0.1815
REG,0.26525963413809245,0.05559548912772102,0.10880000000000001
RCL,0.5670296401772595,0.03187614266859096,0.2097
QRVO,0.40941750082371825,0.3486102378783932,0.2908
QCOM,0.4183606069624754,0.10040336153483734,0.1659
PYPL,0.5039063719026257,0.7561033554944175,0.15990000000000001
PXD,0.3584419964209704,-0.21224126405195343,0.3674
PWR,0.33667098331449785,-0.16565918969995122,0.3718
PTC,0.32510911965921824,-0.03481554972340962,0.1893
PSX,0.35237313590360314,-0.21487535393264914,0.29350000000000004
PSA,0.2592110618740878,0.11432787997666084,0.12300000000000001
PRU,0.2774730443053423,0.0565981192769254,0.16210000000000002
PPL,0.2096522389631673,0.04810291652148123,0.33840000000000003
PPG,0.30643541184888123,0.1156005441255085,0.2433
SBAC,0.3117899884511692,0.25218690271237065,0.1158
SBUX,0.2955809120338979,0.06390461183853154,0.2483
SCHW,0.39142394173697626,0.2218785973333945,0.2401
TFC,0.37695604169911895,0.3646756217318812,0.25420000000000004
TER,0.44313712598290594,0.24570549757859045,0.1586
TEL,0.2814158212396624,0.11014560252449755,0.1593
TECH,0.3584207094375441,0.3791738009293574,0.5517
TDG,0.30525402321254513,-0.14561247567692417,0.3909
TAP,0.2680304819600091,-0.15514431173053841,0.2121
